Name	MOA	Target	Disease Area	Indication	Phase
MMV-390048	PI4K inhibitor				Preclinical
MM77	serotonin receptor antagonist	HTR1A			Preclinical
MN-64	tankyrase inhibitor	TNKS			Preclinical
MNITMT	lymphocyte inhibitor				Preclinical
mocetinostat	HDAC inhibitor	HDAC1, HDAC11, HDAC2, HDAC3			Phase 2
moclobemide	monoamine oxidase inhibitor	MAOA, MAOB	neurology/psychiatry	depression, anxiety	Launched
modaline					Preclinical
moexipril	angiotensin converting enzyme inhibitor	ACE, ACE2	cardiology	hypertension	Launched
mofegiline	monoamine oxidase inhibitor	MAOA, MAOB			Phase 1
mofezolac	cyclooxygenase inhibitor	PTGS1	rheumatology, orthopedics	rheumatoid arthritis, osteoporosis	Launched
moguisteine	ATP-sensitive potassium channel inhibitor				Phase 2
molidustat	hypoxia inducible factor inhibitor	EGLN2			Phase 3
molindone	dopamine receptor antagonist	DRD2, HRH1, HTR2A	neurology/psychiatry	schizophrenia	Launched
molsidomine	guanylate cyclase stimulant	GUCY1A3	cardiology	coronary artery disease (CAD)	Launched
mometasone	glucocorticoid receptor agonist	NR3C1	dermatology	corticosteroid-responsive dermatoses	Launched
mometasone-furoate	glucocorticoid receptor agonist	NR3C1	dermatology	corticosteroid-responsive dermatoses	Launched
monastrol	kinesin inhibitor	KIF11			Preclinical
monensin	bacterial permeability inducer		infectious disease	gastrointestinal parasites	Launched
monepantel	mTOR inhibitor				Preclinical
monobenzone	melanin inhibitor	TYR	dermatology	skin depigmentation	Launched
monocrotaline	antitumor agent				Preclinical
monoctanoin			gastroenterology	gallstones	Launched
monomethyl-fumarate			neurology/psychiatry	multiple sclerosis	Launched
monosodium-alpha-luminol					Launched
monostearin					Preclinical
montelukast	leukotriene receptor antagonist	ALOX5, CYSLTR1	pulmonary, allergy	asthma, allergic rhinitis, exercise-induced bronchoconstriction (EIB)	Launched
moprolol	adrenergic receptor antagonist		cardiology, ophthalmology, neurology/psychiatry	hypertension, glaucoma, anxiety	Launched
moracizine	sodium channel blocker	SCN5A	cardiology	ventricular arrhythmias	Withdrawn
morantel	acetylcholine receptor agonist		infectious disease	tapeworm	Launched
morin	cytochrome P450 inhibitor	ADORA2A, ESR2, FASN, MCL1, SLC22A12			Preclinical
morinidazole	other antibiotic	CYP51A1			Launched
morniflumate	anti-inflammatory agent		neurology/psychiatry	pain relief	Launched
moroxydine	antiviral		infectious disease	influenza A virus infection	Launched
morphothiadin	antiinfective drug				Preclinical
mosapride	serotonin receptor agonist	HTR4	gastroenterology	hypertrophic gastritis (GHG), gastroesophageal reflux disease (GERD), dyspepsia, irritable bowel syndrome	Launched
motapizone	phosphodiesterase inhibitor				Preclinical
motesanib	KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor	FLT1, FLT4, KDR, KIT			Phase 3
motolimod	toll-like receptor agonist	TLR8			Phase 2
moxalactam	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections, gram-negative bacterial infections, skin infections, bone and joint infections, pneumonia, urinary tract infections, meningitis	Launched
moxaverine	phosphodiesterase inhibitor		neurology/psychiatry	spasms	Launched
moxidectin	chloride channel antagonist		infectious disease	gastrointestinal parasites	Launched
moxifloxacin	bacterial DNA gyrase inhibitor	TOP2A	otolaryngology, pulmonary, infectious disease	sinusitis, bronchitis, pneumonia, skin infections, intra-abdominal infections	Launched
moxisylyte	adrenergic receptor antagonist				Withdrawn
moxonidine	imidazoline receptor agonist	ADRA2A, ADRA2B, ADRA2C	cardiology	hypertension	Launched
mozavaptan	vasopressin receptor antagonist	AVPR1A, AVPR1B, AVPR2	endocrinology	hyponatremia	Launched
MPEP	glutamate receptor antagonist	GRM1, GRM4, GRM5			Preclinical
MPI-0479605	mitotic kinase inhibitor	TTK			Preclinical
Mps-BAY-2a	monopolar spindle 1 kinase inhibitor	TTK			Preclinical
Mps1-IN-1	monopolar spindle 1 kinase inhibitor	TTK			Preclinical
Mps1-IN-5	protein kinase inhibitor				Phase 1
MR-16728	acetylcholine release enhancer				Preclinical
MR-948	thromboxane synthase inhibitor	TBXAS1			Phase 1
MRK-016	GABA receptor inverse agonist	GABRA1, GABRA2, GABRA3, GABRA5			Phase 1
MRK-409	benzodiazepine receptor agonist				Phase 1
MRK-560	gamma secretase inhibitor	APP			Preclinical
MRS-1220	adenosine receptor antagonist	ADORA2B, ADORA3			Preclinical
MRS-1334	adenosine receptor antagonist	ADORA3			Preclinical
MRS-1845	calcium channel blocker				Preclinical
MRS-2578	purinergic receptor antagonist	P2RY6			Preclinical
MRS-3777	adenosine receptor antagonist	ADORA1, ADORA2A, ADORA2B, ADORA3			Preclinical
MRX-2843	MER tyrosine kinase inhibitor				Phase 1
MS-424	glutamate transporter modulator				Phase 2
MSDC-0160	insulin sensitizer				Phase 2
MSDC-0602K	mitochondrial pyruvate carrier modulator				Phase 2
MSX-122	CC chemokine receptor antagonist	CXCR4			Phase 2
MTPG	glutamate receptor antagonist	GRM2, GRM3			Preclinical
mubritinib	protein tyrosine kinase inhibitor	EGFR, ERBB2			Phase 1
mupirocin	isoleucyl-tRNA synthetase inhibitor		infectious disease	impetigo	Launched
muscimol	benzodiazepine receptor agonist	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRR1, GABRR2, GABRR3			Phase 1
MUT056399	FABI inhibitor				Phase 1
MY-5445	phosphodiesterase inhibitor, platelet aggregation inhibitor	PDE5A			Preclinical
mycophenolate-mofetil	dehydrogenase inhibitor, inositol monophosphatase inhibitor	IMPDH1, IMPDH2	transplant	organ rejection	Launched
mycophenolic-acid	dehydrogenase inhibitor, inositol monophosphatase inhibitor	IMPDH1, IMPDH2	transplant	organ rejection	Launched
myricetin	androgen receptor agonist, cytochrome P450 inhibitor	PIK3CG			Preclinical
myricitrin	PKC inhibitor	NOS1, PRKCA			Preclinical
myristyl-nicotinate	topical sunscreen agent				Phase 1
M8-B	transient receptor potential channel antagonist	TRPM8			Preclinical
N-(p-amylcinnamoyl)-anthranilic-acid	phospholipase inhibitor				Preclinical
N-(2-chlorophenyl)-2-({(2E)-2-[1-(2-pyridinyl)ethylidene]hydrazino}carbothioyl)hydrazinecarbothioamide					Preclinical
N-[2-(piperidinylamino)ethyl]-4-iodobenzamide	sigma receptor ligand				Preclinical
N-acetyl-D-glucosamine		B4GALT1, B4GALT2, B4GALT3, B4GALT4, NAGK, NAGLU, NAGPA, RENBP			Phase 2/Phase 3
N-acetyl-tyrosine					Launched
N-acetylcarnosine					Launched
N-acetylglycyl-D-glutamic-acid	glutamate receptor agonist				Preclinical
N-acetylmannosamine					Phase 2
N-acetyltryptamine	melatonin receptor agonist				Preclinical
N-alpha-methylhistamine-dihydrochloride	histamine receptor agonist	HRH4			Phase 3
N-benzylnaltrindole	opioid receptor antagonist				Preclinical
N-cyclohexyl-2-benzothiazolesulfenamide					Preclinical
N-hydroxynicotinamide					Preclinical
N-methyl-(-)ephedrine-[1R,2S]					Preclinical
N-methylformamide					Phase 2
N-methyllidocaine-iodide	antiarrhythmic medication				Preclinical
N-methylpyrrolidone					Phase 1
N-methylquipazine	serotonin receptor agonist				Preclinical
N-MPPP	opioid receptor agonist				Preclinical
N-oxydiethylenebenzothiazole-2-sulfenamide					Preclinical
N-salicoylaminophenol	ribonucleotide reductase inhibitor				Phase 1/Phase 2
NAB-2	ubiquitin ligase transport promoter	NEDD4			Preclinical
nabumetone	cyclooxygenase inhibitor	PTGS1, PTGS2	rheumatology	rheumatoid arthritis, osteoarthritis	Launched
nadide	free radical scavenger	AHCY, AKR1A1, ALDH2, BLVRA, DHPS, DLD, GALE, HMGCR, HSD17B1, HSD17B4, IMPDH2, MGAM, P2RY11, SORD, TRPM2			Launched
nadifloxacin	bacterial DNA gyrase inhibitor		dermatology, infectious disease	acne vulgaris (AV), skin infections	Launched
nadolol	adrenergic receptor antagonist	ADRB1, ADRB2, ADRB3	cardiology	angina pectoris, hypertension	Launched
NADPH		DRD2, DRD3, DRD4, GHSR, HTR2A, HTR2C			Preclinical
nafadotride	dopamine receptor antagonist	DRD2, DRD3, HTR1A			Preclinical
nafamostat	serine protease inhibitor	ASIC1, ASIC2, ASIC3, C1R, PRSS1, TPSAB1, TRPM7	cardiology	anticoagulent	Launched
nafcillin	bacterial cell wall synthesis inhibitor	CYP1A2, CYP3A4, SLC22A6	infectious disease	gram-positive bacterial infections	Launched
naftidrofuryl	adrenergic receptor antagonist		cardiology	claudication	Launched
naftifine	fungal squalene epoxidase inhibitor		infectious disease	tinea pedis, tinea cruris, tinea corporis	Launched
naftopidil	adrenergic receptor antagonist	ADRA1A	urology	benign prostatic hyperplasia (BPH)	Launched
nalbuphine	opioid receptor agonist, opioid receptor antagonist	OPRD1, OPRK1, OPRM1	neurology/psychiatry	pain relief	Launched
nalfurafine	opioid receptor agonist	OPRK1, OPRM1	nephrology	uremic pruritus	Launched
nalidixic-acid	bacterial DNA gyrase inhibitor		infectious disease	urinary tract infections	Launched
nalmefene	opioid receptor antagonist	OPRD1, OPRK1, OPRM1	pulmonary	respiratory depression	Launched
naloxegol	opioid receptor antagonist	OPRM1	gastroenterology	constipation	Launched
naloxone	opioid receptor antagonist	CREB1, ESR1, OPRD1, OPRK1, OPRM1, TLR4	pulmonary	respiratory depression	Launched
naloxone-benzoylhydrazone	opioid receptor antagonist	OPRK1, OPRM1			Preclinical
naltrexone	opioid receptor antagonist	OPRD1, OPRK1, OPRM1, SIGMAR1	neurology/psychiatry	abstinence from alcohol	Launched
naltriben	opioid receptor antagonist	OPRD1, OPRK1, OPRM1			Preclinical
naltrindole	opioid receptor antagonist	OPRD1, OPRK1, OPRM1			Preclinical
Nampt-IN-1					Preclinical
NAN-190	serotonin receptor agonist	ADRA1A, ADRA1B, ADRA1D, HTR1A, HTR1F			Preclinical
nanchangmycin	other antibiotic				Preclinical
napabucasin	STAT inhibitor	STAT3			Phase 3
napamezole	adrenergic receptor antagonist, monoamine reuptake inhibitor				Preclinical
naphazoline	adrenergic receptor agonist	ADRA1A, ADRA2A	ophthalmology	eye irritation	Launched
naphthoquine-phosphate	antimalarial agent		infectious disease	malaria	Launched
napirimus	immunosuppressant				Phase 1
naproxen	cyclooxygenase inhibitor	PTGS1, PTGS2	neurology/psychiatry, rheumatology, dental, otolaryngology, endocrinology	pain relief, rheumatoid arthritis, headache, toothache, backache, muscle pain, common cold, fever	Launched
naquotinib	EGFR inhibitor				Phase 3
narasin	antiprotozoal agent		infectious disease	coccidiosis	Launched
naratriptan	serotonin receptor agonist	HTR1A, HTR1B, HTR1D, HTR1E, HTR1F	neurology/psychiatry	migraine headache	Launched
naringenin	aromatase inhibitor, TRPV antagonist	CYP19A1, CYP1B1, ESR2, GLO1, HSD17B1			Phase 1
naringeninic-acid		HCAR2, PTGR1			Phase 1
naringin	cytochrome P450 inhibitor	SLCO1A2			Preclinical
naringin-dihydrochalcone	cytochrome P450 inhibitor				Preclinical
narlaprevir	HCV inhibitor				Phase 3
NAS-181	serotonin receptor antagonist	HTR1B			Preclinical
nastorazepide	CCK receptor antagonist	CCKBR			Phase 2
natamycin	fungal ergosterol inhibitor		ophthalmology, infectious disease	conjunctivitis, fungal keratosis, blepharitis	Launched
nateglinide	insulin secretagogue	ABCC8, KCNJ10, KCNJ11, PPARG	endocrinology	diabetes mellitus	Launched
NAV-26	voltage-gated sodium channel blocker	SCN9A			Preclinical
navarixin	CC chemokine receptor antagonist	CXCR1, CXCR2			Phase 2
navitoclax	BCL inhibitor	BCL2, BCL2L1, BCL2L2			Phase 2
naxagolide	dopamine receptor agonist				Phase 3
NB-001	antiviral				Preclinical
NBI-27914	corticotropin releasing factor receptor antagonist	CRHR1			Preclinical
NBI-74330-(+/-)	CC chemokine receptor antagonist	CXCR3			Preclinical
NBI-98782	vesicular monoamine transporter inhibitor				Preclinical
NBQX	glutamate receptor antagonist	GRIA1, GRIA2, GRIA3, GRIA4, GRIK1, GRIN1, GRIN2A, GRIN2B			Preclinical
NCS-382	GABA receptor antagonist	GABBR1, GABBR2, SLC52A2			Preclinical
NCX-1015	interleukin sythesis stimulator				Preclinical
NDD-094					Preclinical
NDT-9513727	complement antagonist	C5AR1			Preclinical
NE-100	sigma receptor antagonist	SIGMAR1			Phase 2
nebivolol	adrenergic receptor antagonist	ADRB1	cardiology	hypertension	Launched
nebracetam	acetylcholine receptor agonist	CHRM1			Phase 3
NECA	adenosine receptor agonist	ADORA1, ADORA2A, ADORA2B, ADORA3			Launched
necrostatin-1	RIPK inhibitor	RIPK1			Preclinical
necrostatin-2	necroptosis inhibitor, RIPK inhibitor	RIPK2			Preclinical
nedaplatin	DNA inhibitor		oncology	non-small cell lung cancer (NSCLC), small cell lung cancer, esophageal cancer	Launched
nedocromil	histamine receptor antagonist	CYSLTR1, CYSLTR2, FPR1, HSP90AA1, PTGDR	neurology/psychiatry, ophthalmology	itching, conjunctivitis	Launched
nefazodone	adrenergic inhibitor, norepinephrine reuptake inhibitor, serotonin receptor antagonist, serotonin reuptake inhibitor	ADRA1A, ADRA1B, ADRA2A, CYP3A4, HTR1A, HTR2A, HTR2C, SLC6A2, SLC6A3, SLC6A4			Withdrawn
nefiracetam	acetylcholine receptor agonist, benzodiazepine receptor agonist	CHRM1			Phase 3
nefopam	cyclooxygenase inhibitor		neurology/psychiatry	pain relief	Launched
nelarabine	DNA synthesis inhibitor, T cell inhibitor	POLA1	hematologic malignancy	acute lymphoblastic leukemia (ALL)	Launched
nelfinavir	HIV protease inhibitor	CYP1A2, CYP2B6, CYP2C19, CYP2C9, CYP2D6, CYP3A4, CYP3A7	infectious disease	human immunodeficiency virus (HIV-1)	Launched
nelociguat	guanylate cyclase stimulant				Preclinical
nelotanserin	serotonin receptor inverse agonist				Phase 2
nemazoline	adrenergic receptor agonist, adrenergic receptor antagonist				Phase 2
nemiralisib					Phase 2
nemonapride	dopamine receptor antagonist	DRD2, DRD3, DRD4	neurology/psychiatry	schizophrenia	Launched
nemorexant	orexin receptor antagonist				Preclinical
nemorubicin	topoisomerase inhibitor	TOP1, TOP2A			Phase 2
neo-gilurytmal			cardiology	cardiac arrythmia	Launched
neohesperidin					Preclinical
neohesperidin-dihydrochalcone					Preclinical
neomycin	bacterial 30S ribosomal subunit inhibitor	CXCR4	infectious disease, gastroenterology	first-aid antibiotic, hepatic encephalopathy (HE), intra-abdominal infections	Launched
neostigmine	acetylcholinesterase inhibitor	ACHE	neurology/psychiatry	myasthenia gravis	Launched
nepafenac	cyclooxygenase inhibitor	PTGS1, PTGS2	ophthalmology	eye inflammation	Launched
nepicastat	dopamine beta hydroxylase inhibitor	DBH			Phase 2
neratinib	EGFR inhibitor	EGFR, ERBB2, KDR	oncology	breast cancer	Launched
nerbacadol	cyclooxygenase inhibitor				Phase 3
neridronic-acid	bone resorption inhibitor	FDPS	endocrinology	brittle bone disease, Paget's disease	Launched
nesbuvir	RNA polymerase inhibitor				Phase 2
netilmicin	protein synthesis inhibitor		infectious disease	gram-negative bacterial infections	Launched
netupitant	tachykinin antagonist	TACR1	gastroenterology	nausea, vomiting	Launched
neurodazine	neurogenesis of non-pluripotent C2C12 myoblast inducer				Preclinical
neuropathiazol	neural stem cell inducer	BMP2, LIF			Preclinical
Neu2000	ionotropic glutamate receptor antagonist				Phase 2
nevirapine	non-nucleoside reverse transcriptase inhibitor	CYP1A2, CYP2A6, CYP2B6, CYP2C9, CYP2D6, CYP3A4, CYP3A5	infectious disease	human immunodeficiency virus (HIV-1)	Launched
nexturastat-A	HDAC inhibitor	HDAC1, HDAC6			Preclinical
NFKB-activation-inhibitor-II	NFkB pathway inhibitor	RELA			Preclinical
NG-nitro-arginine	nitric oxide synthase inhibitor	NOS1, NOS2, NOS3			Phase 1
NGB-2904	dopamine receptor antagonist	DRD3			Preclinical
NGD-94-1	dopamine receptor antagonist	DRD4			Phase 1
NGD-98-2	corticotropin releasing factor receptor antagonist	CRHR1			Preclinical
NGP555	gamma secretase modulator				Phase 1
NHI-2	lactate dehydrogenase inhibitor	LDHA			Preclinical
NH125	eukaryotic translation elongation factor 2 inhibitor				Preclinical
NI-57	bromodomain inhibitor	BRD1, BRPF1, BRPF3			Preclinical
niacin	NAD precursor, vitamin B	DGAT2, HCAR1, HCAR2, HCAR3, NNMT, QPRT	endocrinology	hypertriglyceridemia	Launched
nialamide	monoamine oxidase inhibitor	COMT, MAOA, MAOB			Withdrawn
nibentan	potassium channel blocker				Phase 2
nicainoprol	angiotensin converting enzyme inhibitor				Preclinical
nicaraven	free radical scavenger				Phase 3
nicardipine	calcium channel blocker	ADORA3	cardiology	chronic stable angina, hypertension	Launched
nicergoline	adrenergic receptor antagonist	ADRA1A	rheumatology, neurology/psychiatry, cardiology, hematology	Raynaud's disease, migraine headache, atherosclerosis, thrombosis	Launched
niceritrol	NAD precursor		endocrinology	hyperlipidemia	Launched
niclosamide	DNA replication inhibitor, STAT inhibitor	STAT3	infectious disease	tapeworm	Launched
nicodicosapent	sterol regulatory element binding protein (SREBP) inhibitor				Preclinical
nicorandil	nitric oxide donor, potassium channel activator	KCNJ11	cardiology	angina pectoris	Launched
nicotinamide	protein synthesis stimulant	BST1, LDHA, PARP1, SIRT5	dermatology	acne vulgaris (AV)	Launched
nicotine	acetylcholine receptor agonist	CHAT, CHRNA10, CHRNA2, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNA9, CHRNB2, CHRNB3, CHRNB4, CYP19A1, TBXAS1, TRPA1	neurology/psychiatry	smoking cessation	Launched
nicotinyl-alcohol-tartrate			cardiology, neurology/psychiatry	vascular spasm, vertigo	Launched
NIDA-41020	cannabinoid receptor antagonist	CNR1			Preclinical
nifedipine	calcium channel blocker	CACNA1C, CACNA1D, CACNA1F, CACNA1H, CACNA1S, CACNA2D1, CACNB2, CALM1, GLRA1, GLRA3, GLRB, KCNA1, KCNA5, NR1I2, TRPM3	cardiology	vasospastic angina, chronic stable angina	Launched
nifekalant	potassium channel blocker		cardiology	ventricular arrhythmias, ventricular tachycardia (VT)	Launched
nifenalol	adrenergic receptor antagonist	ADRB1, ADRB2			Launched
nifenazone	analgesic agent		neurology/psychiatry	pain relief	Launched
niflumic-acid	cyclooxygenase inhibitor	ANO1, CLCN1, CLCNKA, CLCNKB, KCNQ1, PLA2G1B, PLA2G4A, PTGS1, PTGS2, UGT1A9	rheumatology, neurology/psychiatry	joint pain, muscle pain	Launched
nifuroxazide	bacterial DNA inhibitor		gastroenterology	colitis, diarrhea	Launched
nifursol	bacterial DNA inhibitor				Launched
nifurtimox	DNA inhibitor		infectious disease	Chagas disease, African trypanosomiasis	Launched
niguldipine-(R)-(-)					Preclinical
niguldipine-(S)-(+)	adrenergic receptor antagonist	ADRA1A			Preclinical
nikethamide	immunostimulant				Withdrawn
nilotinib	Abl kinase inhibitor, Bcr-Abl kinase inhibitor	ABL1, KIT	hematologic malignancy	chronic myeloid leukemia (CML)	Launched
nilutamide	androgen receptor antagonist	AR	oncology	prostate cancer	Launched
nilvadipine	calcium channel blocker	CACNA1C, CACNA1D	cardiology	hypertension, cerebral artery occlusion	Launched
nimesulide	cyclooxygenase inhibitor	LTF, PLA2G2E, PTGS1, PTGS2	rheumatology, obstetrics/gynecology	osteoarthritis, menstrual pain	Launched
nimodipine	calcium channel blocker	CFTR, NR3C2	hematology	hemorrhage	Launched
nimorazole	bacterial DNA inhibitor		oncology	head and neck squamous cell carcinoma (HNSCC)	Launched
nimustine	DNA alkylating agent				Launched
NIM811	mitochondrial permeability transition inhibitor				Phase 2
ningetinib-tosylate	protein tyrosine kinase inhibitor				Preclinical
nintedanib	FGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor	FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, PDGFRA, PDGFRB	pulmonary	idiopathic pulmonary fibrosis (IPF)	Launched
niraparib	PARP inhibitor	PARP1	oncology	primary peritoneal cancer (PPC)	Launched
niridazole	phosphofructokinase inhibitor		infectious disease	schistosomiasis	Launched
nisin	bacterial cell wall synthesis inhibitor				Phase 1
nisoldipine	calcium channel blocker	CACNA1C, CACNA1D, CACNA1F, CACNA1S	cardiology	hypertension	Launched
nisoxetine	norepinephrine reuptake inhibitor	SLC6A2, SLC6A3, SLC6A4			Phase 1
nitarsone			dermatology	blackhead disease	Launched
nitazoxanide	pyruvate ferredoxin oxidoreductase inhibitor		gastroenterology	diarrhea	Launched
nitecapone	catechol O methyltransferase inhibitor	COMT			Phase 2
nitenpyram			infectious disease	flea control	Launched
nithiamide	bacterial DNA inhibitor				Preclinical
nitisinone	hydroxyphenylpyruvate dioxygenase inhibitor		metabolism	tyrosinemia	Launched
nitrendipine	calcium channel blocker	CACNA1D, CACNA2D1, KCNN4	cardiology	hypertension	Launched
nitrocaramiphen	cholinergic receptor antagonist	CHRM1			Preclinical
nitroflurbiprofen	cyclooxygenase inhibitor				Preclinical
nitrofurantoin	DNA inhibitor		infectious disease	urinary tract infections, pyelonephritis	Launched
nitrofurazone	bacterial DNA inhibitor		infectious disease	first-aid antibiotic	Launched
nitromide			infectious disease	coccidiosis	Launched
nitrosodimethylurea	DNA synthesis inhibitor				Preclinical
nitroxoline	cathepsin inhibitor	METAP2	infectious disease	urinary tract infections	Launched
nizatidine	histamine receptor antagonist	HRH2	gastroenterology	duodenal ulcer disease, erosive esophagitis (EE), ulcerative esophagitis (UE), gastroesophageal reflux disease (GERD)	Launched
nizofenone	ion channel antagonist		neurology/psychiatry	stroke	Launched
NK-252	nuclear factor erythroid derived, like (NRF2) activator	NFE2L2			Preclinical
NKP-1339	HSP inhibitor				Phase 1
NKY-80	adenylyl cyclase inhibitor	ADCY5			Preclinical
NLG919	indoleamine 2,3-dioxygenase inhibitor	IDO1			Phase 1
NMDA	glutamate receptor agonist	GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D			Preclinical
NMS-E973	HSP inhibitor				Preclinical
NMS-P715	protein kinase inhibitor				Preclinical
NMS-1286937	PLK inhibitor	FLT3, PLK1, PLK2, PLK3			Phase 2
NMS-873	ATPase inhibitor	VCP			Preclinical
NM107	RNA polymerase inhibitor				Phase 2
NN-DNJ	glucosidase inhibitor	GBA			Preclinical
NNC-05-2090	GABA uptake inhibitor, GAT inhibitor	SLC6A12			Preclinical
NNC-55-0396	T-type calcium channel blocker	CATSPER1, CATSPER2, CATSPER3, CATSPER4			Preclinical
NNC-63-0532	opioid receptor agonist	OPRL1			Preclinical
NNC-711	GABA uptake inhibitor	SIGMAR1, SLC6A1			Preclinical
NO-ASA	cyclooxygenase inhibitor	PTGS2			Phase 2
nobiletin	MEK inhibitor	MAP2K1			Preclinical
nocodazole	tubulin polymerization inhibitor	HPGDS			Preclinical
nolatrexed	thymidylate synthase inhibitor	TYMS			Phase 3
nomegestrol-acetate	progesterone receptor agonist	PGR	endocrinology	contraceptive	Launched
nomifensine	dopamine reuptake inhibitor, noradrenaline uptake inhibitor	DRD2, SLC6A2, SLC6A3			Withdrawn
nonivamide	TRPV agonist	TRPV1	rheumatology, neurology/psychiatry	rheumatoid arthritis, muscle pain	Launched
nonoxynol-9	membrane integrity inhibitor		endocrinology	contraceptive	Launched
nor-binaltorphimine	opioid receptor antagonist	OPRD1, OPRK1, OPRM1			Preclinical
norcyclobenzaprine	adrenergic receptor agonist, serotonin receptor antagonist				Preclinical
norelgestromin		PGR	endocrinology	contraceptive	Launched
norepinephrine	adrenergic receptor agonist	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, PAH, SLC18A1, SLC18A2	cardiology, allergy, neurology/psychiatry	hypertension, urticaria, headache, seasonal affective disorder	Launched
norethindrone	progesterone receptor agonist	PGR	obstetrics/gynecology	endometriosis	Launched
norethindrone-acetate	progesterone receptor agonist	PGR	endocrinology, orthopedics, obstetrics/gynecology	menopause, osteoporosis, vaginal atrophy	Launched
norethisterone-enanthate	contraceptive agent		endocrinology	contraceptive	Launched
noretynodrel	progestogen hormone	PGR	endocrinology	contraceptive	Launched
norfloxacin	bacterial DNA gyrase inhibitor	TOP2A	infectious disease, urology	urinary tract infections, gonorrhea, prostatitis	Launched
norfluoxetine	selective serotonin reuptake inhibitor (SSRI)	HTR2B			Phase 1
norgestimate	progesterone receptor agonist	ESR1, PGR	endocrinology	contraceptive	Launched
norgestrel	progesterone receptor agonist	AR, ESR1, PGR, SRD5A1	endocrinology	contraceptive	Launched
nornicotine	acetylcholine receptor agonist				Preclinical
nortriptyline	tricyclic antidepressant	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR1A, HTR2A, HTR2C, HTR6, KCNJ10, PGRMC1, SIGMAR1, SLC6A2, SLC6A4	neurology/psychiatry	depression	Launched
norvancomycin					Preclinical
noscapine	bradykinin receptor antagonist, tubulin polymerization inhibitor	SIGMAR1	pulmonary	cough suppressant	Launched
NOV-002		GSR			Phase 3
novobiocin	bacterial DNA gyrase inhibitor		obstetrics/gynecology	mastitis	Launched
NPC-01	steroid				Phase 3
NPC-15199	ICAM1 antagonist	PPARG			Phase 2
NPPB	chloride channel blocker	ANO1, CLCN2, CLCN7, TRPA1			Preclinical
NPS-2143	calcium receptor antagonist	CASR			Preclinical
NPS-2407	glutamate receptor antagonist				Preclinical
NPY-5RA972	neuropeptide receptor antagonist	NPY5R			Preclinical
NQDI-1	caspase inhibitor	CASP3			Preclinical
NS-018	JAK inhibitor	JAK1, JAK2, JAK3, TYK2			Phase 1/Phase 2
NS-11021	calcium-activated potassium channel activator	KCNMA1			Preclinical
NS-11394	GABA receptor agonist				Preclinical
NS-1643	voltage-gated potassium channel activator	KCNH2, KCNH6, KCNMA1			Preclinical
NS-19504	calcium-activated potassium channel activator	KCNMA1			Preclinical
NS-309	calcium-activated potassium channel activator	KCNN1, KCNN2, KCNN3, KCNN4			Preclinical
NS-3623	voltage-gated potassium channel activator	KCNH2			Preclinical
NS-3861	acetylcholine receptor agonist	CHRNA3, CHRNB4			Preclinical
NS-5806	voltage-gated potassium channel activator	KCND3			Preclinical
NS-8	potassium channel agonist	KCNMA1			Phase 2
NS-8593	calcium-activated potassium channel modulator	KCNN1, KCNN2, KCNN3			Preclinical
NS-9283	acetylcholine receptor allosteric modulator	CHRNA4			Preclinical
NSC-23766	Ras GTPase inhibitor				Preclinical
NSC-319726	p53 activator				Preclinical
NSC-3852	HDAC inhibitor	HDAC1			Preclinical
NSC-405020	matrix metalloprotease inhibitor	MMP1			Preclinical
NSC-4644	ACAT inhibitor, sterol regulatory element binding protein (SREBP) inhibitor	PYGM			Phase 2
NSC-5844	CC chemokine receptor agonist	CCR1			Preclinical
NSC-625987	CDK inhibitor	CDK2, CDK4			Preclinical
NSC-632839	ubiquitin specific protease inhibitor	SENP2, USP1, USP2, USP7			Preclinical
NSC-636819	histone demethylase inhibitor	KDM4A, KDM4B			Preclinical
NSC-663284	CDC inhibitor	CDC25A, CDC25B, CDC25C			Preclinical
NSC-697923	ubiquitin-conjugating enzyme inhibitor	UBE2N			Preclinical
NSC-95397	CDC inhibitor	CDC25A, CDC25B			Preclinical
NSC-9965	acetylcholine receptor antagonist	CHRNA4, CHRNB2			Preclinical
NSI-189	neurotrophic agent				Phase 2
NSP-805	phosphodiesterase inhibitor				Preclinical
NTNCB	neuropeptide receptor antagonist	NPY5R			Preclinical
NTRC-824	neurotensin receptor antagonist	NTSR2			Preclinical
nTZDpa	PPAR receptor agonist	PPARG			Preclinical
NT157	IGF-1 inhibitor	IGF1R			Preclinical
NU-1025	PARP inhibitor	PARP1			Preclinical
